-26.72842724,-28.15628585,-30.80646730,-31.40930586,-31.51158653,-29.68226442,-29.59313777,-30.30463511,-31.27314061,-29.76133682,-29.12074618,-29.23973184,-22.75500087,3.00000000
-23.66284087,-23.34084558,-25.16488916,-28.31589264,-31.66922877,-34.23093031,-35.41283585,-35.15602520,-35.31151996,-36.59406071,-36.02730443,-33.36729665,-32.37453702,3.00000000
-29.25361045,-30.65587157,-32.95226461,-33.25697866,-34.77347811,-35.96973660,-35.36768528,-33.56896349,-32.90059574,-30.37708438,-28.60232738,-29.08799544,-30.52549282,3.00000000
-35.98282246,-36.66239188,-35.02798153,-30.16337655,-29.43010311,-30.88582669,-33.66851767,-34.57140989,-34.00958867,-32.92062101,-28.63097057,-27.67648662,-27.66717482,3.00000000
-18.37448484,-18.07339570,-19.66384394,-21.31320183,-23.45437936,-25.94049864,-28.11140421,-30.81008105,-33.14585689,-32.97834743,-32.15695909,-32.52131733,-34.47276920,3.00000000
-30.70184071,-31.80879794,-34.27538560,-34.99369533,-33.06385174,-33.15727160,-34.91487984,-35.94413260,-33.16724616,-30.76563581,-32.30541694,-32.66098189,-32.47253957,3.00000000
-24.38416586,-26.16947815,-29.49392090,-27.96974460,-27.71309043,-29.80062861,-31.15819586,-32.03956973,-32.76986299,-32.37021238,-32.76121187,-33.34076841,-32.93288242,3.00000000
-7.74004466,-7.52893395,-8.85559599,-11.68225471,-16.49734874,-17.34126301,-19.70772651,-22.01219051,-23.47741628,-25.25999617,-23.84988397,-23.94597899,-23.41201314,3.00000000
-25.75311456,-24.20511819,-23.36752443,-22.73064870,-23.52101091,-24.19921774,-23.80171235,-23.68601079,-23.65213799,-22.91284139,-20.85802912,-21.30143469,-21.76778617,3.00000000
-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,-41.29238394,3.00000000
